timestamp,ticker,action,sentiment,quantity,price
2025-08-18 00:44:00,ESU2025,sell,short,4,6479.25
2025-08-18 01:00:00,ESU2025,buy,flat,4,6478.25
2025-08-18 01:25:00,ESU2025,sell,short,4,6477.75
2025-08-18 02:05:00,ESU2025,buy,flat,4,6476.75
2025-08-18 08:05:00,ESU2025,sell,short,4,6461.25
2025-08-18 08:37:00,ESU2025,buy,flat,4,6464.50
2025-08-18 09:35:00,ESU2025,buy,long,4,6470.00
2025-08-18 09:36:00,ESU2025,sell,flat,4,6471.00
2025-08-18 10:23:00,ESU2025,buy,long,4,6471.25
2025-08-18 10:23:00,ESU2025,sell,flat,4,6472.25
2025-08-18 12:37:00,ESU2025,sell,short,4,6462.25
2025-08-18 12:37:00,ESU2025,buy,flat,4,6461.25
2025-08-18 23:39:00,ESU2025,sell,short,4,6461.00
2025-08-18 23:39:00,ESU2025,buy,flat,4,6460.00
2025-08-19 01:10:00,ESU2025,sell,short,4,6457.75
2025-08-19 01:12:00,ESU2025,buy,flat,4,6456.75
2025-08-19 04:29:00,ESU2025,buy,long,4,6462.00
2025-08-19 04:43:00,ESU2025,sell,flat,4,6463.00
2025-08-19 08:25:00,ESU2025,buy,long,4,6466.50
2025-08-19 08:26:00,ESU2025,sell,flat,4,6467.50
2025-08-19 09:32:00,ESU2025,sell,short,4,6461.25
2025-08-19 09:32:00,ESU2025,buy,flat,4,6460.25
2025-08-19 14:02:00,ESU2025,sell,short,4,6429.50
2025-08-19 14:03:00,ESU2025,buy,flat,4,6428.25
2025-08-19 21:10:00,ESU2025,sell,short,4,6423.75
2025-08-19 21:11:00,ESU2025,buy,flat,4,6422.75
2025-08-19 22:57:00,ESU2025,sell,short,4,6418.75
2025-08-19 23:07:00,ESU2025,buy,flat,4,6417.75
2025-08-20 00:37:00,ESU2025,sell,short,4,6412.50
2025-08-20 00:42:00,ESU2025,buy,flat,4,6411.50
2025-08-20 06:58:00,ESU2025,buy,long,4,6425.00
2025-08-20 07:01:00,ESU2025,sell,flat,4,6426.00
2025-08-20 08:50:00,ESU2025,buy,long,4,6429.25
2025-08-20 09:30:00,ESU2025,sell,flat,4,6430.25
2025-08-20 09:32:00,ESU2025,sell,short,4,6422.00
2025-08-20 09:32:00,ESU2025,buy,flat,4,6421.00
2025-08-20 13:33:00,ESU2025,buy,long,4,6406.75
2025-08-20 13:33:00,ESU2025,sell,flat,4,6407.75
2025-08-20 20:18:00,ESU2025,sell,short,4,6407.00
2025-08-20 20:20:00,ESU2025,buy,flat,4,6406.00
2025-08-20 20:50:00,ESU2025,sell,short,4,6405.00
2025-08-20 20:52:00,ESU2025,buy,flat,4,6404.00
2025-08-21 04:19:00,ESU2025,sell,short,4,6409.50
2025-08-21 04:19:00,ESU2025,buy,flat,4,6408.50
2025-08-21 05:59:00,ESU2025,sell,short,4,6405.00
2025-08-21 05:59:00,ESU2025,buy,flat,4,6404.00
2025-08-21 08:46:00,ESU2025,sell,short,4,6387.75
2025-08-21 08:46:00,ESU2025,buy,flat,4,6386.75
2025-08-21 11:01:00,ESU2025,buy,long,4,6405.00
